source_id,ra,dec,class,label_source,label_method,independent_of_pipeline,notes,mag,redshift
000031.97+002249.9,0.13323,0.380531,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.156922
000017.38-085123.7,0.072423,-8.856608,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.25372
000034.80+210108.1,0.145024,21.018918,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.0188
000132.22+135258.3,0.384262,13.882887,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.885
000038.16+020144.5,0.159019,2.029049,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,0.98163
000203.62+183121.9,0.515092,18.522753,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.134564
000105.87+005341.7,0.274486,0.894933,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.506951
000200.32+204718.9,0.501347,20.7886,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,0.733455
000059.58+295642.5,0.248268,29.945145,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,3.252
000055.85+200708.9,0.232714,20.119151,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.274523
000203.11+315153.1,0.512959,31.864774,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.265
000057.67-085617.0,0.240324,-8.938062,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.096212
000000.57+055630.8,0.002375,5.941903,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.102771
000046.17+170047.0,0.19239,17.01307,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,0.801
000026.27+022140.8,0.109474,2.361353,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,0.77
000130.31+013749.2,0.376303,1.63034,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.164568
000202.42+330824.3,0.510118,33.140102,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.57
000139.32+331947.9,0.413862,33.329993,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.924306
000130.25+053321.5,0.376044,5.555976,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.057971
000015.56+194941.0,0.064849,19.82807,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.245175
000108.68+342549.2,0.286202,34.430337,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.235136
000116.51-031050.2,0.318829,-3.180623,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.100814
000130.57+130847.3,0.377384,13.146475,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,3.051
000028.24+184005.3,0.117668,18.66816,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.473829
000018.12+013637.1,0.075536,1.610323,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.4
000020.66+312202.7,0.086095,31.367437,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.95
000106.87+023845.9,0.278661,2.64611,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.76
000155.79+102106.7,0.482487,10.351878,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.519424
000003.87-024228.0,0.016165,-2.70779,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.781
000030.64-064100.0,0.127696,-6.683355,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.606
000045.05+011127.8,0.187711,1.19106,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.065385
000038.85+054847.7,0.161906,5.81327,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.308942
000206.48+284933.5,0.527003,28.825991,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.053
000200.07+291810.7,0.500312,29.302984,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.809
000107.94+064643.7,0.283084,6.778813,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.484934
000116.62+195153.3,0.319255,19.864815,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.075559
000048.01+333926.9,0.200054,33.657498,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.737
